原题名称,标题,题目名称,问题描述,输入描述,输出描述,提示说明,样例输入,样例输出,通过率,AC数,Submit,题目URL,题目列表URL,补题传送门URL,补题题目URL
1407：工作日,17-18(1)第1次线上赛,1：工作日,星期一到星期五是工作日，星期六和星期日是周末。根据输入的星期几属于工作日还是周末，输出working day或者holiday,"第1行是一个正整数n，表示测试案例的数量。
从第2行到第n+1行，每行是一组测试案例，每组案例包含一个整数m，表示星期几","针对每组案例，如果m是1到5之间的数字，则输出working day；（注意working和day之间有个空格）
如果m是6或者7，则输出holiday；
其他情况输出error。
每组案例输出完都要换行。",,"3
2
6
8","working day
holiday
error",51.34%,134,261,https://www.xujcoj.com/home/contest/154/problem/1,https://www.xujcoj.com/home/contest/154/problem,https://www.xujcoj.com/home/problem?keyword3=154,https://www.xujcoj.com/home/problem/detail/1407
1500：画矩形,18-19(1)第4次线上赛,6：画矩形,根据要求画出矩形。,"只有一组案例。
先是两个正整数m和n（3<=m,n<=10），然后是一个字符c，最后是一个0或者1的整数d。
m代表矩形图案的高，n代表矩形图案的宽，c是用来画矩形的符号，如果d是0则画空心的矩形，如果d是1则画实心的矩形。",按要求输出一个空心或者实心的矩形。最后一行后面也要换行。,如果输入是5 3 # 1，那么输出结果是,7 7 @ 0,,49.36%,155,314,https://www.xujcoj.com/home/contest/352/problem/6,https://www.xujcoj.com/home/contest/352/problem,https://www.xujcoj.com/home/problem?keyword3=352,https://www.xujcoj.com/home/problem/detail/1500
1548：围花圃,17-18(1)第5次线上赛,3：围花圃,"zt有一块大小为a*b的长方形土地，希望能把这块土地围成大小为c*d的长方形花圃，问最多能围成多少个这样的花圃？
规定：1、花圃的边必须和土地的边平行或者垂直，即不可以斜着围花圃。2、所有花圃较长的边都必须平行，即不能有些花圃看起来是竖着，有些花圃看起来是横着。","一个正整数n，表示n组案例。（n<=10）
每组案例由4个正整数a、b、c、d组成。（保证最后的答案在int范围内）","针对每组案例，输出一个整数，表示可围出的花圃的个数。
每组案例输出完都要换行。",,"2
25 10 12 4
5 7 8 6","4
0",33.71%,90,267,https://www.xujcoj.com/home/contest/196/problem/3,https://www.xujcoj.com/home/contest/196/problem,https://www.xujcoj.com/home/problem?keyword3=196,https://www.xujcoj.com/home/problem/detail/1548
1629：连续的数字,17-18(2)第1次线上赛,4：连续的数字,大柱随手写了m个整数，想知道这些数中是否存在a个连续的整数（例如，3，4，5，6就是4个连续的整数）,"一个正整数n，表示有n组案例。
每组案例中，先是一个正整数m（m<=1000），表示整数的总个数，然后是m个整数，最后是一个正整数a。","针对每组案例，如果这m个数字中存在a个连续的整数，那么输出Yes，否则输出No。
每组案例输出完都要换行。",,"2
5 6 4 10 7 5 3
5 1 2 1 5 4 3","Yes
No",15.27%,42,275,https://www.xujcoj.com/home/contest/224/problem/4,https://www.xujcoj.com/home/contest/224/problem,https://www.xujcoj.com/home/problem?keyword3=224,https://www.xujcoj.com/home/problem/detail/1629
1630：身份证,17-18(2)第1次线上赛,2：身份证,从身份证号中获取生日信息,"一个正整数n，表示有n组案例。
每组案例中有一个长度为18的字符串，表示身份证号。","针对每组案例，按年月日输出生日信息，其中年和月、月和日之间分别有一个空格。
每组案例输出完都要换行。",年份保证是4位数，月份和日期有可能是1位数或者2位数。如果是1位数，不要把十位数的0输出,"1
35020319970930123X",1997 9 30,38.24%,143,374,https://www.xujcoj.com/home/contest/224/problem/2,https://www.xujcoj.com/home/contest/224/problem,https://www.xujcoj.com/home/problem?keyword3=224,https://www.xujcoj.com/home/problem/detail/1630
1944：不重复的数字,18-19(1)第1次线上赛,3：不重复的数字,把两个整数的加法、减法、乘法这三个运算的得数，按照从小到大的顺序输出。如果得数中有重复的数字，那么只要输出一次。,两个整数a和b,"把a+b、a-b、a*b这三个数字按从小到大的顺序输出。
如果其中有重复的数字，那么只要输出一次。
每两个数字之间保留一个空格，最后不要换行。",三个得数分别是2 2 0，所以输出时2只输出了一次。,2 0,0 2,24.23%,94,388,https://www.xujcoj.com/home/contest/315/problem/3,https://www.xujcoj.com/home/contest/315/problem,https://www.xujcoj.com/home/problem?keyword3=315,https://www.xujcoj.com/home/problem/detail/1944
1945：正反都是日期,18-19(1)第1次线上赛,2：正反都是日期,"某一天的日期可以用8位数来表示，期中前四位表示年份，中间两位表示月份，最后两位表示日。例如2018年10月1日可以用20181001表示。但一个8位数不见得可以表示日期，例如12345678。
有时候一个8位数不管正着看，还是反着看，都可以表示日期。例如20111001，可以表示2011年10月1日；反过来的10011102，可以表示1001年11月2日。
输入一个8位数，判断是否正着和反着都可以表示日期。",一个8位正整数y,"如果y正着和反着
都可以表示日期，那么输入Yes，否则输出No。
不要换行。",,20181001,No,17.72%,14,79,https://www.xujcoj.com/home/contest/315/problem/2,https://www.xujcoj.com/home/contest/315/problem,https://www.xujcoj.com/home/problem?keyword3=315,https://www.xujcoj.com/home/problem/detail/1945
1981：最大的总和,18-19(1)第2次线上赛,4：最大的总和,有m个整数，选择其中的一部分（至少1个，至多m个），希望总和越大越好。问这个最大的总和是多少？,"一个正整数n，表示有n组案例。
每组案例中，先是一个正整数m
（m<=10000)
，表示数字的个数，然后是m个整数。（保证答案会在int范围内）","针对每组案例，输出一个整数，表示
最大的总和。
每组案例输出完都要换行。","若要使用INT_MAX、INT_MIN，需要
#include<limits.h>","2
3
-1 2 3
4
1 2 3 4","5
10",19.07%,49,257,https://www.xujcoj.com/home/contest/331/problem/4,https://www.xujcoj.com/home/contest/331/problem,https://www.xujcoj.com/home/problem?keyword3=331,https://www.xujcoj.com/home/problem/detail/1981
1983：重型货车,18-19(1)第2次线上赛,3：重型货车,"有一辆最大载重m的重型货车从甲地经由乙地到达丙地，中途不卸货不增货。从甲地到乙地有a座桥，货车可以选择其中任意一条通过。从乙地到丙地有b座桥，同样，货车可以选择其中任意一条通过。每座桥有最大载重限制，货车如果想从桥上经过，要满足载重不超过桥的限制。（货车自身重量忽略不计）

现在想要知道货车最多可以载重多少？","一个正整数n，表示有n组案例。

每组案例先是三个正整数a、b和m，其中a表示从甲地到乙地桥的数量，b表示从乙地到丙地桥的数量，m表示货车的最大载重；

然后是a个正整数，表示从甲地到乙地这a座桥的最大载重限制；最后是b个正整数，表示从乙地到丙地这b座桥的最大载重限制。","针对每组案例，输出一个整数，表示货车最多载重多少。

每组案例输出完都要换行。",,"2
1 1 50
20
60
2 2 50
30 50
60 40","20
50",31.62%,37,117,https://www.xujcoj.com/home/contest/331/problem/3,https://www.xujcoj.com/home/contest/331/problem,https://www.xujcoj.com/home/problem?keyword3=331,https://www.xujcoj.com/home/problem/detail/1983
2011：质数的和-2,18-19(1)第5次线上赛,5：质数的和-2,一个数字，有时能表示成多个不同质数之和（至少2个不同质数）的形式，例如13可以表示成两个质数2、11之和。现在想要知道，一个数字到底有多少种用不同质数之和表示的方法。,"一个正整数n，表示有n组案例。
每组案例由一个正整数m组成。（m<=800）","针对每组案例，输出m有
多少种用不同质数之和
（至少2个不同质数）
表示的方法。
每组案例输出完都要换行。",,"2
23
800","4
220482183",11.76%,2,17,https://www.xujcoj.com/home/contest/362/problem/5,https://www.xujcoj.com/home/contest/362/problem,https://www.xujcoj.com/home/problem?keyword3=362,https://www.xujcoj.com/home/problem/detail/2011
