标题,题目名称,问题描述,输入描述,输出描述,提示说明,样例输入,样例输出,通过率,Submit,题目URL,题目列表URL,补题传送门URL,补题题目URL
25-26(1)第4次线上赛,1：因数的数量,"求一堆整数的因数数量。
例如有3个整数10、7、14，这些数的因数有1、2、5、7、10、14共六个，所以这些整数的因数数量为6。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例先是一个正整数m，然后是m个正整数。（m<=100，每个正整数均不大于1000）","针对每组案例，输出这m个正整数的因数数量。
每组案例输出完都要换行。",,"2
3
10 7 14
2
100 27","6
12",63.45%,290,https://www.xujcoj.com/home/contest/2554/problem/1,https://www.xujcoj.com/home/contest/2554/problem,https://www.xujcoj.com/home/problem?keyword3=2554,https://www.xujcoj.com/home/problem/detail/5669
25-26(1)第4次线上赛,2：排序-3,有m个同学的考试成绩，现在希望按照与平均分的差距进行排序，与平均分越接近的分数排前面，如果两个分数与平均分的差距相同，则分数比较高的排前面。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例中，先是一个正整数m，表示同学的数量；（m<=1000）
然后是m个非负整数，表示这m个同学各自的考试成绩。（均不大于100）","针对每组案例，按排序后的顺序依次输出每位同学的成绩，两两分数之间有一个空格。
每组案例输出完要换行。","平均分84。84离平均分最近，所以在最前面；86和82离平均分都是2分，但86比82大，所以86在82前面；88和80离平均分都是4分，但88比80大，所以88在80前面
注意算平均分的时候要考虑有可能平均分不是整数。","1
5
80 84 88 86 82",84 86 82 88 80,53.92%,217,https://www.xujcoj.com/home/contest/2554/problem/2,https://www.xujcoj.com/home/contest/2554/problem,https://www.xujcoj.com/home/problem?keyword3=2554,https://www.xujcoj.com/home/problem/detail/5693
25-26(1)第4次线上赛,3：相同的生日,有m个人报出了各自的生日日期（公历），问其中是否至少有3人的生日在同一天？（指的是月份和日期相同，不需要年份相同）,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例先是一个正整数m，表示人数;（m<=1000）
然后是m行数据，每行数据由三个整数a、b、c构成，表示一个人的生日是a年b月c日。（保证是合法的日期）","针对每组案例，如果存在至少3人的生日在同一天，那么输出Yes，否则输出No。
每组案例输出完都要换行。",,"2
4
2000 4 6
2001 4 6
2017 1 1
1990 4 6
4
2000 1 1
2000 1 2
2000 1 3
2000 1 4","Yes
No",64.71%,221,https://www.xujcoj.com/home/contest/2554/problem/3,https://www.xujcoj.com/home/contest/2554/problem,https://www.xujcoj.com/home/problem?keyword3=2554,https://www.xujcoj.com/home/problem/detail/5694
25-26(1)第4次线上赛,4：数字变换-3,"把一个正整数a按如下规律输出。
例如a=1234，要求输出1 12 123 1234。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例由一个正整数a组成。（a<=1e9）","针对每组案例，按【问题描述】中呈现的规律输出结果，两两数字之间有一个空格。
每组案例输出完要换行。",,"2
1234
10086","1 12 123 1234
1 10 100 1008 10086",70.45%,264,https://www.xujcoj.com/home/contest/2554/problem/4,https://www.xujcoj.com/home/contest/2554/problem,https://www.xujcoj.com/home/problem?keyword3=2554,https://www.xujcoj.com/home/problem/detail/5695
25-26(1)第4次线上赛,5：盆地,"用一个二维数组表示地图，每个元素的值表示那块地面的海拔高度。如果一块地面的海拔高度低于相邻的8个方向（上、下、左、右、左上、左下、右上、右下）所有地面，那么称该点是盆地点。特别规定，地图边缘一圈都不是盆地点。
给定一张地图，求地图上盆地点的数量。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例先是两个正整数a和b，表示地图是一个a行b列的二维数组。（a<=100，b<=100）
然后是a行b列整数数据，表示地图上各块地面的海拔高度。（绝对值不大于10000）","针对每组案例，输出一个正整数，表示地图上盆地点的数量。
每组案例输出完要换行。",-2所在的点比相邻的8个点都小，所以是盆地点,"1
3 4
10 9 8 7
-5 1 -2 4
6 6 6 6",1,72.41%,87,https://www.xujcoj.com/home/contest/2554/problem/5,https://www.xujcoj.com/home/contest/2554/problem,https://www.xujcoj.com/home/problem?keyword3=2554,https://www.xujcoj.com/home/problem/detail/5696
25-26(1)第4次线上赛,6：数列-18,有一个数列，第一项是a，后面每一项是前一项*b+c的结果除以10007的余数，求数列数值最接近10007的一项是多少？,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例由三个正整数a、b、c组成。（均不大于10000）","针对每组案例，输出数列中的一项，该项是所有项中最接近10007的。
每组案例输出完都要换行。",,"1
2 1 2",10006,59.70%,134,https://www.xujcoj.com/home/contest/2554/problem/6,https://www.xujcoj.com/home/contest/2554/problem,https://www.xujcoj.com/home/problem?keyword3=2554,https://www.xujcoj.com/home/problem/detail/5697
25-26(1)第3次线上赛,2：质数-7,输入若干个整数，反向输出其中的质数。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。(n<=100)
每组案例先是一个正整数m，表示有m个整数，（m<=1000）
然后是m个整数。（绝对值均不大于1e7）","针对每组案例，输出这m个整数中的质数，要求后输入的数先输出。输出的数字两两之间有一个空格。
每组案例输出完都要换行。",,"3
4
2 5 4 3
2
10 8
3
1 2 3","3 5 2
3 2",51.32%,454,https://www.xujcoj.com/home/contest/2516/problem/2,https://www.xujcoj.com/home/contest/2516/problem,https://www.xujcoj.com/home/problem?keyword3=2516,https://www.xujcoj.com/home/problem/detail/5637
25-26(1)第3次线上赛,4：数字阵列,输出一个由某个正整数开始的连续整数组成的数字阵列。,"这是一道多组案例的题目。一个正整数n，表示案例的数量（n<=100）
每组案例由两个正整数a和x组成。（a<=1e8，x<=100）","针对每组案例，输出一个由数字构成的x行x列的数字阵列，用到的数字为从a开始起的连续正整数。
每组案例输出结束后需要有一个额外的换行。","因为每组案例输出结束后需要有一个额外的换行，所以样例中可以明显看出各组样例之间隔了一行空行。
第二组样例最后一行最后一列那个1是下一个数字105的第一位数。","3
1 2
100 4
1000 2","12
34
1001
0110
2103
1041
10
00",45.31%,245,https://www.xujcoj.com/home/contest/2516/problem/4,https://www.xujcoj.com/home/contest/2516/problem,https://www.xujcoj.com/home/problem?keyword3=2516,https://www.xujcoj.com/home/problem/detail/5640
25-26(1)第3次线上赛,5：最大质因数,"12的因数有1、2、3、4、6、12，其中最大的质数是3，所以12的最大质因数是3。
计算一个正整数的最大质因数。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例由一个正整数a组成。（2<=a<=1e7）","针对每组案例，输出一个整数，表示a的最大质因数。
每组案例输出完都要换行。",,"2

12

19



","3

19




",58.97%,351,https://www.xujcoj.com/home/contest/2516/problem/5,https://www.xujcoj.com/home/contest/2516/problem,https://www.xujcoj.com/home/problem?keyword3=2516,https://www.xujcoj.com/home/problem/detail/5642
25-26(1)第2次线上赛,2：相同的余数,有四个正整数a、b、c、d，问这四个整数是否可以两两一组，使得第一组中两数相除的余数恰好等于第二组中两数相除的余数。,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由四个正整数a、b、c、d组成。（均不大于10000）","针对每组案例，如果可以找到【问题描述】中的分组，那么输出Yes，否则输出No。
每组案例输出完都要换行。",第一组案例中，1除以2的余数是1，4除以3的余数是1，故可以1、2一组，3、4一组。,"2
1 2 3 4
2 3 10 10","Yes
No",42.29%,525,https://www.xujcoj.com/home/contest/2453/problem/2,https://www.xujcoj.com/home/contest/2453/problem,https://www.xujcoj.com/home/problem?keyword3=2453,https://www.xujcoj.com/home/problem/detail/5601
25-26(1)第2次线上赛,3：快乐位运算-5,"已知两个无符号整数 a 和 b，你需要找到一个无符号整数 c 使得 (a ^ c) & (~b ^ c) 的值尽可能大，由于这样的 c 可能会有很多，所以你只要输出满足要求的最小的 c 就可以。
注意：b前面那个符号~是按位取反运算符，不是减号。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n <= 10000）
每组案例由两个无符号长整数a和b组成。（a,b <= 1e16）","针对每组案例，输出一个无符号长整数c，c的含义见问题描述。
每组案例输出完都要换行。",,"2
10 8
5 7","0
2",47.67%,193,https://www.xujcoj.com/home/contest/2453/problem/3,https://www.xujcoj.com/home/contest/2453/problem,https://www.xujcoj.com/home/problem?keyword3=2453,https://www.xujcoj.com/home/problem/detail/5598
25-26(1)第2次线上赛,4：下一站的距离,"某市1路车的路线是一条无限长度的直线，从起点站出发，中间安排了多个站点，其中第1站离起点站a千米，第2站离起点站b千米，从第3站开始，每站距离起点站的距离是前两站离起点站距离之和。
例如，当a=1，b=2时，前5站离起点的距离分别是1、2、3、5、8千米。
现在已知一辆1路车距离起点x千米，问该公交车离下一站还有多少千米？（如果公交车当前恰好位于某个站点，那么下一站指的是接下来到达的站点，而非当前所在站点）","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n <= 100）
每组案例由三个正整数a、b、x组成。（a < b <= 1e5, x <= 1e9）","针对每组案例，输出一个整数，表示公交车离下一站还有多少千米。
每组案例输出完都要换行。",,"2
1 2 5
1 2 6","3
2",44.44%,405,https://www.xujcoj.com/home/contest/2453/problem/4,https://www.xujcoj.com/home/contest/2453/problem,https://www.xujcoj.com/home/problem?keyword3=2453,https://www.xujcoj.com/home/problem/detail/5599
25-26(1)第2次线上赛,5：求和,计算1+2+...+m的和,"这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例由一个正整数m组成。（m<=1000）","针对每组案例，输出一个整数，表示1+2+...+m的和。
每组案例输出完都要换行。",,"2
3
5","6
15",80.85%,376,https://www.xujcoj.com/home/contest/2453/problem/5,https://www.xujcoj.com/home/contest/2453/problem,https://www.xujcoj.com/home/problem?keyword3=2453,https://www.xujcoj.com/home/problem/detail/5602
25-26(1)第2次线上赛,6：质数个质数,"判断闭区间[a,b]之内质数的数量是质数个吗？","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n <= 100）
每组案例由两个正整数a和b组成。（a <= b <= 1e5）","针对每组案例，如果[a,b]之内有质数个质数，输出Yes，否则输出No。
每组案例输出完都要换行。","[2,10]之间有4个质数，4不是质数。
[3,10]之间有3个质数，3是质数。","2
2 10
3 10","No
Yes",40.56%,466,https://www.xujcoj.com/home/contest/2453/problem/6,https://www.xujcoj.com/home/contest/2453/problem,https://www.xujcoj.com/home/problem?keyword3=2453,https://www.xujcoj.com/home/problem/detail/5600
25-26(1)第1次线上赛,1：Hello World,在屏幕上输出//Hello World\\,无,//Hello World\\,,,//Hello World\\,44.29%,998,https://www.xujcoj.com/home/contest/2389/problem/1,https://www.xujcoj.com/home/contest/2389/problem,https://www.xujcoj.com/home/problem?keyword3=2389,https://www.xujcoj.com/home/problem/detail/5550
25-26(1)第1次线上赛,6：风水,"古代西方占星家认为，水、火、土、风四种元素构成生物体从而繁衍万物，十二星座按风、土、水、火分为四类。风象星座代表头脑（天秤座、水瓶座、双子座）；火象星座代表能量（白羊座、狮子座、射手座）；水象星座代表情感（巨蟹座、天蝎座、双鱼座）；土象星座代表身体（摩羯座、金牛座、处女座）。
现在已知某人的生日，问属于按风、土、水、火哪一类？",三个整数，表示生日的年、月、日,"根据所属的风、土、水、火种类，输出对应的英文单词。不用换行。
风-Wind
土-Earth
水-Water
火-Fire","水瓶座‌：1月20日~2月18日

‌双鱼座‌：2月19日~3月20日

‌白羊座‌：3月21日~4月19日

‌金牛座‌：4月20日~5月20日

‌双子座‌：5月21日~6月21日

‌巨蟹座‌：6月22日~7月22日

‌狮子座‌：7月23日~8月22日

‌处女座‌：8月23日~9月22日

‌天秤座‌：9月23日~10月23日

‌天蝎座‌：10月24日~11月22日

‌射手座‌：11月23日~12月21日

‌摩羯座‌：12月22日~1月19日",2000 1 1,Earth,68.21%,302,https://www.xujcoj.com/home/contest/2389/problem/6,https://www.xujcoj.com/home/contest/2389/problem,https://www.xujcoj.com/home/problem?keyword3=2389,https://www.xujcoj.com/home/problem/detail/5548
24-25(2)第6次线上赛,2：最大的等差数列,"给出$$4$$个数字$$a,b,c,d$$请你找到三个数字$$x,y,z$$，满足：
- $$0 \le x \le a$$
- $$0 \le y \le b$$
- $$0 \le z \le c$$
- $$x + d = y$$
- $$y + d = z$$
请你输出$$x+y+z$$的最大值，如果没有满足条件的数字，那么输出$$0$$。","第一行是一个正整数 T 代表测试案例的数量。(1 <= T <= 10000)
每组测试案例包含四个整数 a、b、c、d。(0 <= a、b、c、d <= 1e9)",针对每组案例，输出$$x+y+z$$的最大值，没有则输出$$0$$。,"在第一组案例中，$$x=1,y=2,z=3$$。
在第二组案例中，$$x=0,y=2,z=4$$。","3
1 2 3 1
3 3 4 2
5 5 5 3","6
6
0",40.38%,260,https://www.xujcoj.com/home/contest/2304/problem/2,https://www.xujcoj.com/home/contest/2304/problem,https://www.xujcoj.com/home/problem?keyword3=2304,https://www.xujcoj.com/home/problem/detail/2590
24-25(2)第6次线上赛,6： 二叉搜索树的信息,"二叉搜索树或者是一棵空树，或者是具有下列性质的二叉树：

- 若它的左子树不空，则左子树上所有结点的值均小于它的根结点的值

- 若它的右子树不空，则右子树上所有结点的值均大于它的根结点的值

- 它的左、右子树也分别为二叉搜索树

现在向一棵初始为空的二叉搜索树依次插入互不相同的元素$$a_1, a_2, ..., a_n$$。

请你按照节点值从小到大的顺序输出每个节点的信息。","第一行一个正整数$$n$$表示元素的数量。（$$1 \le n \le 1000$$）
接下来一行$$n$$个正整数$$a_1, a_2, ..., a_n$$表示待插入的元素。（$$1 \le a_i \le 10^9$$）","总共输出$$n$$行，按照节点值从小到大的顺序输出以下信息：

该节点的值 其父节点的值 其兄弟节点的值 其左孩子的值 其右孩子的值 该节点的深度
若无对应节点，则以$$0$$代替。",,"5

200 400 100 500 300","100 200 400 0 0 2

200 0 0 100 400 1

300 400 500 0 0 3

400 200 100 300 500 2

500 400 300 0 0 3",41.67%,12,https://www.xujcoj.com/home/contest/2304/problem/6,https://www.xujcoj.com/home/contest/2304/problem,https://www.xujcoj.com/home/problem?keyword3=2304,https://www.xujcoj.com/home/problem/detail/2152
24-25(2)第5次线上赛,3：主元素,"判断一个数组里是否存在主元素。

主元素定义：给定一个包含m个元素的数组a，x称为数组a的主元素，如果这个数组里等于x的元素数目
大于
m/2个。

例如在数组a={2,3,2,2,5,3,2,4,2}，x=2就是主元素。



","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=100）
每组案例首先是一个正整数m，表示数组元素的数目；（m<=1e6，且n·m<=1e6）
然后是m个整数，表示数组中每个元素的值。（取值范围在[-1e9, 1e9]）","针对每组案例，如果存在主元素，那么输出主元素的值，以及在数组中等于主元素的元素数目；如果不存在主元素，则输出None。
每组案例输出完都要换行。",,"2
9
2 3 2 2 5 3 2 4 2
10
-2 -2 -2 -2 -1 -1 -1 0 0 1","2 5
None",45.81%,179,https://www.xujcoj.com/home/contest/2290/problem/3,https://www.xujcoj.com/home/contest/2290/problem,https://www.xujcoj.com/home/problem?keyword3=2290,https://www.xujcoj.com/home/problem/detail/5429
24-25(2)第5次线上赛,5：方程组,"已知如下关于未知数(x
1
,x
2
,x
3
,x
4
)的四元一次方程组的系数，问该方程组有多少个实数解。","这是一道多组案例的题目。一个正整数n，表示案例的数量。（n<=1000）
每组案例由四行数据组成，（数值均在[-10000,10000]区间中）
第一行是第一个方程的系数a
1
,b
1
,c
1
,d
1
；
第二行是第二个方程的系数a
2
,b
2
,c
2
,d
2
；
第三行是第三个方程的系数a
3
,b
3
,c
3
,d
3
；
第四行是第四个方程的系数a
4
,b
4
,c
4
,d
4。","针对每组案例，输出方程组实数解的数量。如果无解则输出0，如果无穷多解则输出INF。
每组案例输出完都要换行。",,"2
1 2 3 4
2 3 4 5
3 4 5 6
4 5 6 7
1 0 0 0
0 2 0 0
0 0 3 0
0 0 0 4","INF
1",58.33%,12,https://www.xujcoj.com/home/contest/2290/problem/5,https://www.xujcoj.com/home/contest/2290/problem,https://www.xujcoj.com/home/problem?keyword3=2290,https://www.xujcoj.com/home/problem/detail/5431
24-25(2)第4次线上赛,1：一道水题,"蔡老师突然不想出题了，于是给出了一道水题。
输出1314
行520",无,根据题目要求进行输出。,,,,41.67%,468,https://www.xujcoj.com/home/contest/2264/problem/1,https://www.xujcoj.com/home/contest/2264/problem,https://www.xujcoj.com/home/problem?keyword3=2264,https://www.xujcoj.com/home/problem/detail/5402
24-25(2)第4次线上赛,5：朋友圈,"高中毕业时，班上m个同学每人都准备了一份礼物，每个人都把自己的礼物送给班上的某个同学。规定一个同学只能收到一份礼物，也就是说不允许多个同学把礼物送给同一个人。
定义：如果a
1
的礼物送给了a
2
，a
2
的礼物送给了a
3
，...，a
i
的礼物送给了a
i+1
，...，a
n
的礼物送给了a
1
，则称a
1
、a
2
、a
3
、...、a
n
这n个同学构成了一个朋友圈。
特殊地，如果某人把礼物送给了自己，则他一个人构成了一个朋友圈。
问班上构成了多少个朋友圈？","只有一组案例。
一个正整数m，表示班级同学的数量。（m<=2e6）
然后是m行数据，每行数据由两个正整数a和b组成，表示a号同学把礼物送给了b号同学。（1<=a,b<=m，保证所有的a都互不相等，所有的b都互不相等）","输出一个整数，表示班级里构成了多少个朋友圈。
不要换行。","1、2、3号构成一个朋友圈
4、5号构成一个朋友圈","5
3 1
4 5
1 2
5 4
2 3",2,41.51%,53,https://www.xujcoj.com/home/contest/2264/problem/5,https://www.xujcoj.com/home/contest/2264/problem,https://www.xujcoj.com/home/problem?keyword3=2264,https://www.xujcoj.com/home/problem/detail/5405
24-25(2)第3次线上赛,1：特殊的整数-2,"一个由0到9构成的正整数，每个数字最多使用三次，0不能作为最高位，位于高位的数字必须不小于低位的数字。例如98832是一个符合要求的数字，因为任意高位数字都不小于低位数字；307不符合要求，因为高位数字3不大于低位数字7，高位数字0也不大于低位数字7；77771不符合条件，因为数字7使用超过三次。

问满足条件的数字一共有多少个？

",无,"一个整数，表示满足条件的数字个数。

不要换行。

",,,《自己算》,40.16%,122,https://www.xujcoj.com/home/contest/2244/problem/1,https://www.xujcoj.com/home/contest/2244/problem,https://www.xujcoj.com/home/problem?keyword3=2244,https://www.xujcoj.com/home/problem/detail/5371
24-25(2)第3次线上赛,2：可能的分数,"一张考卷里有a道题，每道题有各自对应的分值。
Bob做对了其中至少b道题，问Bob可能得到的分数。","只有一组案例。
两个整数a和b，表示题目的总数和至少作对的题数；（0<=b<=a<=10，且保证a大于0）
然后是a个正整数，表示每道题的分值。（均不大于100）",按从小到大的顺序依次可能得到的分数，每个数输出完都要换行。,,"3 2
10 30 60","40
70
90
100",50.85%,59,https://www.xujcoj.com/home/contest/2244/problem/2,https://www.xujcoj.com/home/contest/2244/problem,https://www.xujcoj.com/home/problem?keyword3=2244,https://www.xujcoj.com/home/problem/detail/5362
